"","ind_id","ind_definition","reportyear","race_eth_code","race_eth_name","geotype","geotypevalue","geoname","county_name","county_fips","region_name","region_code","cost_yr","median_income","affordability_ratio","LL95_affordability_ratio","UL95_affordability_ratio","se_food_afford","rse_food_afford","food_afford_decile","CA_RR_Affordability","ave_fam_size","version"
"110",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","02770","Arnold CDP","Calaveras","06009","Central/Southeast Sierra","03",4256.9004,NA,NA,NA,NA,NA,NA,NA,NA,2.19,2013-04-12 04:33:06
"111",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","02812","Aromas CDP","Monterey","06053","Monterey Bay","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97,2013-04-12 04:33:06
"112",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","02868","Arroyo Grande city","San Luis Obispo","06079","San Luis Obispo","11",6082.654404,43629,0.1394177,0.1036125,0.1752228,0.0182679,13.1030218,9,0.5233347,2.62,2013-04-12 04:33:06
"113",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","02896","Artesia city","Los Angeles","06037","Southern California","14",7975.7922312,31528,0.2529749,0.0896564,0.4162934,0.0833257,32.9383484,5,0.9495963,3.39,2013-04-12 04:33:06
"114",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","02910","Artois CDP","Glenn","06021","Northern Sacramento Valley","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-04-12 04:33:06
"115",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","02924","Arvin city","Kern","06029","San Joaquin Valley","10",10031.3323752,14621,0.6860907,0.4127435,0.9594379,0.1394629,20.3271769,1,2.5753909,4.46,2013-04-12 04:33:06
"116",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","02980","Ashland CDP","Alameda","06001","Bay Area","01",7579.9339788,18800,0.403188,0.0536501,0.7527259,0.1783357,44.2313911,3,1.5134539,3.37,2013-04-12 04:33:06
"117",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","03026","Aspen Springs CDP","Mono","06051","Central/Southeast Sierra","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-04-12 04:33:06
"118",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","03064","Atascadero city","San Luis Obispo","06079","San Luis Obispo","11",5823.993024,27215,0.2139994,0.1460833,0.2819154,0.034651,16.1921255,6,0.8032933,2.6,2013-04-12 04:33:06
"119",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","03092","Atherton town","San Mateo","06081","Bay Area","01",8367.318,237583,0.0352185,0.0041672,0.0662698,0.0158425,44.9834162,10,0.1322003,3.45,2013-04-12 04:33:06
"120",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","03162","Atwater city","Merced","06047","San Joaquin Valley","10",7102.5754944,15998,0.4439665,0.3527388,0.5351941,0.0465447,10.4838335,2,1.6665248,3.22,2013-04-12 04:33:06
"121",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","03190","Auberry CDP","Fresno","06019","San Joaquin Valley","10",7104.632448,63494,0.1118945,0.0935512,0.1302379,0.0093589,8.3640075,9,0.4200205,3.28,2013-04-12 04:33:06
"122",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","03205","Auburn Lake Trails CDP","El Dorado","06017","Sacramento Area","08",6516.84,63255,0.1030249,0.0003358,0.205714,0.0523924,50.8541325,10,0.3867264,2.72,2013-04-12 04:33:06
"123",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","03204","Auburn city","Placer","06061","Sacramento Area","08",5988.0086256,31354,0.1909807,0,0.3846977,0.0988352,51.7514188,7,0.7168876,2.62,2013-04-12 04:33:06
"124",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","03209","August CDP","San Joaquin","06077","San Joaquin Valley","10",8486.647998,20852,0.4069944,0.2765295,0.5374594,0.0665637,16.3549511,3,1.5277422,3.65,2013-04-12 04:33:06
"125",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","03274","Avalon city","Los Angeles","06037","Southern California","14",5743.9293756,40786,0.1408309,0,0.2838707,0.0729795,51.8206306,9,0.5286395,2.41,2013-04-12 04:33:06
"126",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","03302","Avenal city","Kings","06031","San Joaquin Valley","10",8498.1674208,9559,0.8890226,0,2.2041508,0.6709837,75.474314,1,3.33714,4.18,2013-04-12 04:33:06
"127",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","03316","Avery CDP","Calaveras","06009","Central/Southeast Sierra","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-04-12 04:33:06
"128",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","03330","Avilla Beach CDP","San Luis Obispo","06079","San Luis Obispo","11",4767.24,NA,NA,NA,NA,NA,NA,NA,NA,2,2013-04-12 04:33:06
"129",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","03344","Avocado Heights CDP","Los Angeles","06037","Southern California","14",8467.3972992,31250,0.2709567,0.1715937,0.3703197,0.0506954,18.7097873,5,1.017095,3.54,2013-04-12 04:33:06
"130",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","03386","Azusa city","Los Angeles","06037","Southern California","14",8870.0220816,28006,0.3167186,0.2315867,0.4018505,0.0434346,13.7139524,4,1.1888724,3.76,2013-04-12 04:33:06
"131",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","03512","Baker CDP","San Bernardino","06071","Southern California","14",9155.1984,NA,NA,NA,NA,NA,NA,NA,NA,3.68,2013-04-12 04:33:06
"132",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","03526","Bakersfield city","Kern","06029","San Joaquin Valley","10",7731.1179,23402,0.3303614,0.2934078,0.367315,0.0188539,5.7070435,4,1.2400835,3.5,2013-04-12 04:33:06
